model,rmse_months,mae_months,r2,term_precision,term_recall,term_f1,elapsed_sec
GradientBoosting,17.5457485113215,13.327942003310019,0.8432350269039885,1.0,0.7758152173913043,0.8737566947207345,0.3455612999969162
CatBoost,17.72295294967475,13.538500425181244,0.8400525204207865,1.0,0.7853260869565217,0.8797564687975646,1.1012655000085942
LinearRegression,17.849089107407192,13.5583142402859,0.837767691818957,1.0,0.7459239130434783,0.8544747081712062,0.008139399986248463
Ridge,17.85046501084688,13.559433509765231,0.8377426793835488,1.0,0.7445652173913043,0.8535825545171339,0.010663299995940179
ElasticNet,17.85522002580585,13.563034027683887,0.8376562235128118,1.0,0.7459239130434783,0.8544747081712062,0.08593900001142174
XGBoost,17.961857609008565,13.814908587414285,0.83571128590529,1.0,0.7948369565217391,0.8856926570779712,0.1644621999876108
RandomForest,18.716592811683018,14.611652642367392,0.821614801398778,1.0,0.8097826086956522,0.8948948948948949,0.7725166999734938
LightGBM,18.748840090707507,14.507923466975388,0.8209995833578627,1.0,0.8206521739130435,0.9014925373134328,0.6697421999997459
HistGradientBoosting,18.860369237250442,14.511402727146205,0.8188636494317088,1.0,0.8097826086956522,0.8948948948948949,0.6745492000191007
ExtraTrees,19.407713404461838,15.16198830715754,0.808197628554238,1.0,0.8220108695652174,0.9023117076808352,0.46776169998338446
DecisionTree,21.172998291126902,17.09271410692382,0.77171889987976,1.0,0.813858695652174,0.897378277153558,0.016323399991961196
KNN,27.45066694168943,21.447311413805178,0.6162830065601839,1.0,0.8328804347826086,0.9088213491475167,0.01611830000183545
DummyMedian,45.947638748054715,33.02722826086956,-0.07505733736446851,1.0,0.6100543478260869,0.7578059071729958,0.006478399998741224
